"id"$"get"$"header_comment"$"whole_line_comment"$"no_words"$"no_chars"$"contents"
"CollectionUtils.java:1"$0$0$0$1$2$"/*"
"CollectionUtils.java:2"$0$0$0$8$54$" * Copyright 2002-2019 the original author or authors."
"CollectionUtils.java:3"$0$0$0$1$2$" *"
"CollectionUtils.java:4"$0$0$0$10$66$" * Licensed under the Apache License, Version 2.0 (the ""License"");"
"CollectionUtils.java:5"$0$0$0$13$67$" * you may not use this file except in compliance with the License."
"CollectionUtils.java:6"$0$0$0$10$42$" * You may obtain a copy of the License at"
"CollectionUtils.java:7"$0$0$0$1$2$" *"
"CollectionUtils.java:8"$0$0$0$2$51$" *      https://www.apache.org/licenses/LICENSE-2.0"
"CollectionUtils.java:9"$0$0$0$1$2$" *"
"CollectionUtils.java:10"$0$0$0$12$70$" * Unless required by applicable law or agreed to in writing, software"
"CollectionUtils.java:11"$0$0$0$12$68$" * distributed under the License is distributed on an ""AS IS"" BASIS,"
"CollectionUtils.java:12"$0$0$0$12$75$" * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
"CollectionUtils.java:13"$0$0$0$11$70$" * See the License for the specific language governing permissions and"
"CollectionUtils.java:14"$0$0$0$5$33$" * limitations under the License."
"CollectionUtils.java:15"$0$0$0$1$3$" */"
"CollectionUtils.java:16"$0$0$0$0$0$""
"CollectionUtils.java:17"$0$0$0$2$33$"package org.springframework.util;"
"CollectionUtils.java:18"$0$0$0$0$0$""
"CollectionUtils.java:19"$0$0$0$2$28$"import java.io.Serializable;"
"CollectionUtils.java:20"$0$0$0$2$27$"import java.util.ArrayList;"
"CollectionUtils.java:21"$0$0$0$2$24$"import java.util.Arrays;"
"CollectionUtils.java:22"$0$0$0$2$28$"import java.util.Collection;"
"CollectionUtils.java:23"$0$0$0$2$29$"import java.util.Collections;"
"CollectionUtils.java:24"$0$0$0$2$29$"import java.util.Enumeration;"
"CollectionUtils.java:25"$0$0$0$2$26$"import java.util.Iterator;"
"CollectionUtils.java:26"$0$0$0$2$31$"import java.util.LinkedHashMap;"
"CollectionUtils.java:27"$0$0$0$2$28$"import java.util.LinkedList;"
"CollectionUtils.java:28"$0$0$0$2$22$"import java.util.List;"
"CollectionUtils.java:29"$0$0$0$2$21$"import java.util.Map;"
"CollectionUtils.java:30"$0$0$0$2$28$"import java.util.Properties;"
"CollectionUtils.java:31"$0$0$0$2$21$"import java.util.Set;"
"CollectionUtils.java:32"$0$0$0$2$27$"import java.util.SortedSet;"
"CollectionUtils.java:33"$0$0$0$0$0$""
"CollectionUtils.java:34"$0$0$0$2$41$"import org.springframework.lang.Nullable;"
"CollectionUtils.java:35"$0$0$0$0$0$""
"CollectionUtils.java:36"$0$0$0$1$3$"/**"
"CollectionUtils.java:37"$0$0$0$5$44$" * Miscellaneous collection utility methods."
"CollectionUtils.java:38"$0$0$0$8$48$" * Mainly for internal use within the framework."
"CollectionUtils.java:39"$0$0$0$1$2$" *"
"CollectionUtils.java:40"$0$0$0$4$26$" * @author Juergen Hoeller"
"CollectionUtils.java:41"$0$0$0$4$21$" * @author Rob Harrop"
"CollectionUtils.java:42"$0$0$0$4$24$" * @author Arjen Poutsma"
"CollectionUtils.java:43"$0$0$0$3$15$" * @since 1.1.3"
"CollectionUtils.java:44"$0$0$0$1$3$" */"
"CollectionUtils.java:45"$0$0$0$5$39$"public abstract class CollectionUtils {"
"CollectionUtils.java:46"$0$0$0$0$0$""
"CollectionUtils.java:47"$0$0$0$1$4$"	/**"
"CollectionUtils.java:48"$0$0$0$13$76$"	 * Return {@code true} if the supplied Collection is {@code null} or empty."
"CollectionUtils.java:49"$0$0$0$5$36$"	 * Otherwise, return {@code false}."
"CollectionUtils.java:50"$0$0$0$7$45$"	 * @param collection the Collection to check"
"CollectionUtils.java:51"$0$0$0$8$49$"	 * @return whether the given Collection is empty"
"CollectionUtils.java:52"$0$0$0$1$4$"	 */"
"CollectionUtils.java:53"$0$0$0$7$68$"	public static boolean isEmpty(@Nullable Collection<?> collection) {"
"CollectionUtils.java:54"$0$0$0$6$54$"		return (collection == null || collection.isEmpty());"
"CollectionUtils.java:55"$0$0$0$1$2$"	}"
"CollectionUtils.java:56"$0$0$0$0$0$""
"CollectionUtils.java:57"$0$0$0$1$4$"	/**"
"CollectionUtils.java:58"$0$0$0$13$69$"	 * Return {@code true} if the supplied Map is {@code null} or empty."
"CollectionUtils.java:59"$0$0$0$5$36$"	 * Otherwise, return {@code false}."
"CollectionUtils.java:60"$0$0$0$7$31$"	 * @param map the Map to check"
"CollectionUtils.java:61"$0$0$0$8$42$"	 * @return whether the given Map is empty"
"CollectionUtils.java:62"$0$0$0$1$4$"	 */"
"CollectionUtils.java:63"$0$0$0$8$57$"	public static boolean isEmpty(@Nullable Map<?, ?> map) {"
"CollectionUtils.java:64"$0$0$0$6$40$"		return (map == null || map.isEmpty());"
"CollectionUtils.java:65"$0$0$0$1$2$"	}"
"CollectionUtils.java:66"$0$0$0$0$0$""
"CollectionUtils.java:67"$0$0$0$1$4$"	/**"
"CollectionUtils.java:68"$1$0$0$13$76$"	 * Convert the supplied array into a List. A primitive array gets converted"
"CollectionUtils.java:69"$0$0$0$9$48$"	 * into a List of the appropriate wrapper type."
"CollectionUtils.java:70"$0$0$0$9$79$"	 * <p><b>NOTE:</b> Generally prefer the standard {@link Arrays#asList} method."
"CollectionUtils.java:71"$0$0$0$14$81$"	 * This {@code arrayToList} method is just meant to deal with an incoming Object"
"CollectionUtils.java:72"$0$0$0$14$76$"	 * value that might be an {@code Object[]} or a primitive array at runtime."
"CollectionUtils.java:73"$0$0$0$13$70$"	 * <p>A {@code null} source value will be converted to an empty List."
"CollectionUtils.java:74"$0$0$0$7$51$"	 * @param source the (potentially primitive) array"
"CollectionUtils.java:75"$0$0$0$6$37$"	 * @return the converted List result"
"CollectionUtils.java:76"$0$0$0$3$42$"	 * @see ObjectUtils#toObjectArray(Object)"
"CollectionUtils.java:77"$0$0$0$3$32$"	 * @see Arrays#asList(Object[])"
"CollectionUtils.java:78"$0$0$0$1$4$"	 */"
"CollectionUtils.java:79"$0$0$0$1$30$"	@SuppressWarnings(""rawtypes"")"
"CollectionUtils.java:80"$0$0$0$7$58$"	public static List arrayToList(@Nullable Object source) {"
"CollectionUtils.java:81"$0$0$0$2$58$"		return Arrays.asList(ObjectUtils.toObjectArray(source));"
"CollectionUtils.java:82"$0$0$0$1$2$"	}"
"CollectionUtils.java:83"$0$0$0$0$0$""
"CollectionUtils.java:84"$0$0$0$1$4$"	/**"
"CollectionUtils.java:85"$0$0$0$9$52$"	 * Merge the given array into the given Collection."
"CollectionUtils.java:86"$0$0$0$11$57$"	 * @param array the array to merge (may be {@code null})"
"CollectionUtils.java:87"$1$0$0$11$67$"	 * @param collection the target Collection to merge the array into"
"CollectionUtils.java:88"$0$0$0$1$4$"	 */"
